"Feature","Data_Type","Category","Sub_Category","TCGA-23-1023","TCGA-23-1026","TCGA-23-1027","TCGA-23-1029","TCGA-23-1109","TCGA-23-1111","TCGA-23-1114","TCGA-23-1120","TCGA-23-1122","TCGA-23-1123","TCGA-23-1809","TCGA-23-2077","TCGA-23-2078","TCGA-23-2081","TCGA-23-2084","TCGA-25-1312","TCGA-25-1313","TCGA-25-1314","TCGA-25-1315","TCGA-25-1316","TCGA-25-1317","TCGA-25-1318","TCGA-25-1319","TCGA-25-1320","TCGA-25-1321","TCGA-25-1322","TCGA-25-1323","TCGA-25-1324","TCGA-25-1326","TCGA-25-1328","TCGA-25-1329","TCGA-25-1623","TCGA-25-1625","TCGA-25-1626","TCGA-25-1627","TCGA-25-1630","TCGA-25-1631","TCGA-25-1632","TCGA-25-1634","TCGA-25-1635","TCGA-25-1870","TCGA-25-1871","TCGA-25-2042","TCGA-25-2391","TCGA-25-2392","TCGA-25-2393","TCGA-25-2396","TCGA-25-2397","TCGA-25-2399","TCGA-25-2400","TCGA-25-2401","TCGA-25-2404","TCGA-25-2409","TCGA-3P-A9WA","TCGA-57-1582","TCGA-57-1583","TCGA-57-1585","TCGA-57-1993","TCGA-57-1994","TCGA-59-A5PD","TCGA-5X-AA5U","TCGA-OY-A56P","TCGA-OY-A56Q","TCGA-WR-A838"
"GLS_RSEM","num","Molecular","mRNA Expression RSEM",401.1348,807.9752,657.7364,619.3407,440.9275,1256.7466,1641.9397,674.7914,1665.0275,654.74,6486.0958,995.1968,901.0551,656.0649,908.5352,754.7085,669.1018,1238.8301,1110.2948,1249.8592,977.977,841.1058,439.4653,1125.7869,702.5322,760.5354,1172.5643,763.065,1242.3311,1279.0564,962.954,1598.5099,645.4489,1893.4684,520.3607,1482.11,847.4738,495.6677,620.9081,589.8952,1013.3684,286.7885,2072.5074,447.8927,766.1792,622.7695,704.3204,2341.1289,902.4612,572.1903,714.4697,681.2773,743.6417,442.504,780.0159,1473.0373,951.2934,688.7253,966.0956,1819.9147,544.8854,1338.0229,770.243,789.704
"GLT1D1_RSEM","num","Molecular","mRNA Expression RSEM",9.9998922,3.2489933,0.7577269,17.0827716,1.7196796,3.7433863,173.7916204,11.1998616,19.3343266,8.4802761,10.7146954,6.4013021,12.2654758,3.1883593,2.5595169,1.3003258,20.6180914,3.5172328,129.2388136,223.5011415,4.5795517,1.261441,2.8838712,19.4940087,1.0574132,4.9245253,224.0745282,7.9998176,4.2277051,4.1831711,7.5349884,14.5161834,4.6118459,20.9057263,1.8371815,70.4179986,10.5569906,7.8948379,3.5201515,1.6337186,10.5130215,20.8982883,15.7285809,4.2669665,18.6003163,30.4266762,3.3378729,0.449661,6.7599277,71.9207614,11.505762,2.2347861,13.2924877,3.107106,2.2501329,1.7240106,7.1362539,17.3644749,14.5342607,3.9358334,0.7444514,34.9055891,4.6475296,17.3167397
"GLT25D1_RSEM","num","Molecular","mRNA Expression RSEM",3245.7402,3714.5146,2721.3101,3225.3946,3705.8015,3085.5626,2357.8477,2332.2696,3091.459,4154.1959,3058.4961,2227.8622,3618.053,2465.6213,2860.478,3192.4889,1651.1082,3863.7923,3923.6157,1113.2285,2224.7022,3037.452,2504.7554,4594.1635,6566.5239,4111.1002,2354.3671,1406.0673,5037.7262,2109.8185,6524.3213,4007.895,2744.9876,3804.7361,1693.7345,2853.1275,2170.0654,1877.3262,890.6422,2193.8001,4540.8206,1890.9854,3795.4735,3564.0918,1973.387,2159.8068,5606.7633,2012.2578,5331.6104,5636.8295,3906.0751,2118.3712,4891.6772,850.8783,3066.7397,4400.439,2983.3305,2583.4818,2798.3534,3600.7644,2432.6354,14260.6497,2563.5827,8033.6779
"GLT25D2_RSEM","num","Molecular","mRNA Expression RSEM",23.86521,19.980655,12.149253,31.428117,12.840297,26.037407,37.204344,10.132999,19.325869,30.339785,157.156534,35.228386,13.405814,10.414469,6.374744,62.270346,23.107751,35.250725,372.618251,73.766781,90.151131,96.21699,41.476736,17.409367,78.522552,18.766108,44.276225,22.568955,22.349261,9.536036,18.257985,31.446933,37.966013,38.769438,33.880665,15.435127,64.339268,14.374805,29.658793,13.139638,6.290544,24.114203,77.093982,12.194103,27.528268,11.985492,18.84249,237.29203,9.636819,284.87036,16.128319,10.322708,68.08644,33.285764,32.513184,8.642997,29.743939,11.973034,11.42367,38.652245,27.457385,62.754068,53.683633,2.171516
"GLT6D1_RSEM","num","Molecular","mRNA Expression RSEM",0,0,0,0,0,0,0.3268,0,0,0,0,0,0,0.4311,0,0,0,0,0,0.3555,0.821,0,0,0,0,0,0.4169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2843,0,0,0.3845
"GLT8D1_RSEM","num","Molecular","mRNA Expression RSEM",870.6694,698.3252,1077.3012,920.6482,1422.8177,1026.2931,915.7776,1478.1882,1078.7887,946.9321,695.8212,1775.3005,1545.1423,1254.287,603.9452,921.9043,652.7808,800.2019,1610.5728,1170.8066,867.5781,1297.0389,1652.1618,999.8755,734.2817,656.6897,984.375,1567.2859,1132.5159,1203.8475,1306.6802,988.72,860.9234,1097.698,711.2647,1035.2017,1392.4284,1490.6673,1588.092,1304.6682,955.2778,1514.7065,1068.5764,1346.7689,919.0119,1258.9971,1052.6421,1046.7805,1121.8721,1180.6107,1072.3933,921.4693,1269.5688,1861.8279,1277.8029,1115.2628,1101.173,1197.9744,913.0096,1006.3464,1215.9777,1783.7207,2427.5241,1053.2771
"GLT8D2_RSEM","num","Molecular","mRNA Expression RSEM",210.96032,255.425777,273.367874,203.025077,151.795719,257.473645,180.07609,142.284508,139.912146,45.905487,109.316794,146.921396,490.891076,258.419424,126.278487,227.000967,302.988758,99.411838,122.580452,1309.20051,240.006415,187.680903,154.571718,548.637998,66.822633,175.805245,332.424641,85.40976,464.244053,344.290406,253.386812,622.518562,254.597726,1096.172726,84.976838,113.38384,108.046521,187.261437,97.286803,402.198586,108.292859,97.470023,1051.960532,36.632996,77.362428,117.030431,150.32066,13.338542,275.308897,103.005995,582.232934,280.88365,267.734752,8.780006,77.613811,203.020131,657.443128,75.397859,50.831748,49.154277,107.415343,271.696932,101.85444,49.816025
"GLTP_RSEM","num","Molecular","mRNA Expression RSEM",927.1932,468.9739,513.923,992.9332,671.2715,1142.2943,703.808,630.8824,770.0067,864.1953,1466.3333,632.7898,823.9682,1617.6777,889.4149,1362.311,1202.9589,710.2289,1261.9924,1837.2301,1121.1557,1609.6585,1621.2569,599.7403,913.6343,1570.0612,1155.1611,1441.7096,1099.6943,770.0078,830.4628,1213.4358,2085.563,1535.119,1134.6829,1030.1135,1141.8865,424.1596,1493.4716,1404.7966,1069.4582,1019.6387,1018.8289,875.2896,1999.8782,1281.8251,667.1317,598.628,744.2163,915.3072,607.0323,836.4308,913.7838,863.219,973.0892,793.5431,860.2877,1043.1321,1174.0084,1753.652,554.5567,566.6036,1588.3308,646.7995
"GLTPD1_RSEM","num","Molecular","mRNA Expression RSEM",939.597,1029.8646,1011.2328,324.3067,1014.9639,679.8571,390.3275,242.4123,529.1823,954.9116,617.5992,1064.8814,678.4025,907.7496,913.5916,880.5321,511.8182,555.6506,342.673,233.7327,356.8949,728.4914,802.4806,494.3926,566.0119,581.8315,578.4132,534.1048,728.8462,389.5175,591.9191,597.0693,1274.1125,417.5563,320.4402,367.8564,321.2632,675.7121,566.2384,670.4081,507.4857,608.0616,780.9219,756.4658,820.0777,539.0995,431.5174,917.778,614.1756,1118.2816,765.7965,612.0942,912.0897,1621.5479,903.8175,386.2529,618.155,549.0393,416.5818,588.0147,652.9293,466.8771,955.9937,444.7134
"GLTPD2_RSEM","num","Molecular","mRNA Expression RSEM",-0.1125813,-0.58812833,-0.58812833,-0.58812833,-0.58812833,-0.58812833,0.66235524,-0.03090715,-0.08477997,0.09850293,-0.16398289,0.90626564,-0.14824939,-0.58812833,-0.58812833,-0.10269638,4.31878716,-0.58812833,-0.58812833,-0.40949959,0.02222429,-0.05500164,-0.58812833,-0.22918217,0.16728549,-0.13725242,-0.3545971,-0.58812833,-0.19124879,0.06827155,-0.37164858,-0.58812833,-0.35019007,-0.58812833,-0.58812833,-0.58812833,-0.42560377,-0.06307433,-0.58812833,-0.15286235,-0.58812833,-0.58812833,-0.07975513,-0.21917369,2.6841097,-0.58812833,-0.2891095,-0.58812833,-0.2685571,0.30040242,-0.58812833,-0.35595627,-0.58812833,0.38220013,-0.35418522,-0.58812833,-0.58812833,-0.58812833,-0.58812833,0.5825757,-0.58812833,-0.58812833,-0.54558199,-0.01966306
