"Feature","Data_Type","Category","Sub_Category","ACH-000001","ACH-000048","ACH-000091","ACH-000116","ACH-000291","ACH-000430","ACH-000443","ACH-000524","ACH-000527","ACH-000574","ACH-000617","ACH-000657","ACH-000663","ACH-000696","ACH-000704","ACH-000719","ACH-000811","ACH-000885","ACH-000906","ACH-000947","ACH-001063","ACH-001151","ACH-001374","ACH-001630","ACH-002140","ACH-002149","ACH-002181"
"ENTINOSTAT (GDSC2:1593)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.327007,NA,2.4171425,NA,NA,NA,NA,1.8605288,NA,NA,2.7008187,0.8196962,NA,2.8301327,NA,2.8525822
"WZ 4003 (GDSC2:1614)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.876367,NA,NA,NA,NA,1.666625,NA,NA,NA,NA
"AOB5560 (GDSC2:1617)_IC50","num","Drug Screen","GDSC2_IC50",NA,3.275672,NA,NA,NA,NA,NA,2.8694268,NA,NA,3.229271,2.1859671,NA,0.1415566,NA,NA,NA,-2.5143463,3.2761842,3.3203366,3.2311042,3.2130092,1.4702578,NA,NA,NA,NA
"GSK525762A (GDSC2:1624)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3721053,NA,NA,NA,NA
"BIRABRESIB (GDSC2:1626)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.335874,NA,NA,NA,NA
"ENTOSPLETINIB (GDSC2:1630)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.898439,NA,NA,NA,NA
"BIIB-057 (GDSC2:1631)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.203899,NA,NA,NA,NA,NA,NA,NA,NA,3.045988,2.659488,1.464096,NA,NA,NA,NA
"CRA-032765 (GDSC2:1799)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.061475,NA,NA,NA,NA
"ACETALAX (GDSC2:1804)_IC50","num","Drug Screen","GDSC2_IC50",-1.521249,NA,NA,NA,NA,NA,NA,NA,-1.640217,NA,-1.602662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELOXATIN (GDSC2:1806)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.356532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOPOTECAN (GDSC2:1808)_IC50","num","Drug Screen","GDSC2_IC50",NA,-2.4395122,-1.2900782,1.15197,NA,NA,NA,NA,NA,NA,NA,-3.0409487,0.7526728,-1.1927482,-1.8356797,NA,NA,1.1159954,-2.8064193,NA,-1.6274917,-1.2818584,-0.3338273,-0.7602188,NA,NA,NA
"TENIPOSIDE (GDSC2:1809)_IC50","num","Drug Screen","GDSC2_IC50",NA,-2.4925751,1.4375406,NA,NA,NA,NA,NA,NA,NA,NA,-2.7455094,NA,NA,NA,NA,NA,NA,NA,0.6524477,-1.3588474,NA,-1.1028113,0.7022047,NA,NA,NA
"MITOXANTRONE (GDSC2:1810)_IC50","num","Drug Screen","GDSC2_IC50",NA,-2.6134182,NA,NA,NA,NA,NA,NA,1.4318618,NA,1.5407706,-5.0277043,0.6692322,-0.9485558,NA,NA,NA,NA,NA,NA,-1.0422914,-0.9180161,0.631495,1.3407314,0.8008461,NA,NA
"AC-DE (GDSC2:1811)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.893922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.357565,NA,NA,NA,NA
"FLUDARA (GDSC2:1813)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.355324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.277023,NA,NA
"VINCRISTINE (GDSC2:1818)_IC50","num","Drug Screen","GDSC2_IC50",-5.4028378,-6.0634343,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.4628649,NA,-4.9424178,0.2973146,NA,NA,-4.3130679,-2.2623671,-5.7388744,-4.3467818,NA,-6.5063051,-1.754415,NA,NA,NA
"DOCETAXEL (GDSC2:1819)_IC50","num","Drug Screen","GDSC2_IC50",-6.1366404,-5.3848269,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.2563248,NA,NA,NA,NA,NA,NA,0.4920788,NA,NA,NA,NA,NA,NA,NA,1.357426
"PODOPHYLLOTOXIN BROMIDE (GDSC2:1825)_IC50","num","Drug Screen","GDSC2_IC50",-2.834906,-3.2681443,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.9590528,NA,-3.1159669,-0.9414279,NA,NA,-1.7963225,-1.5414532,-1.6169039,-1.0565672,NA,-3.3010187,NA,NA,NA,NA
"DIHYDROROTENONE (GDSC2:1827)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.500833,NA,NA,NA,NA,NA,NA,NA
"ELEPHANTIN (GDSC2:1835)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.197996,4.090431,4.256877,4.194941,NA,NA,2.645475,4.182338,3.716086,NA,NA,2.610667,NA,NA,NA,NA
"BI-97C1 (GDSC2:1849)_IC50","num","Drug Screen","GDSC2_IC50",-2.0726607,-1.7239651,-1.5118352,-0.4357924,1.7870444,1.5514559,NA,NA,-2.9288145,NA,0.8892034,-4.5404829,-1.3563447,-1.7784825,-1.7325632,NA,NA,0.1739418,NA,-3.2430339,0.1380619,1.8782894,-1.1383596,NA,0.12866,NA,NA
"GTPL8020 (GDSC2:1855)_IC50","num","Drug Screen","GDSC2_IC50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.126688,NA,NA,NA,NA
"BDP-00009066 (GDSC2:1866)_IC50","num","Drug Screen","GDSC2_IC50",3.285571,2.475125,NA,NA,NA,2.64082,NA,NA,NA,3.303827,NA,1.325755,NA,2.068491,NA,NA,NA,2.677826,NA,NA,2.050911,NA,2.455376,NA,2.354062,2.469988,NA
