Feature,Data_Type,Category,Sub_Category,ACH-000001,ACH-000048,ACH-000091,ACH-000116,ACH-000123,ACH-000132,ACH-000237,ACH-000256,ACH-000278,ACH-000291,ACH-000324,ACH-000409,ACH-000430,ACH-000443,ACH-000460,ACH-000524,ACH-000527,ACH-000542,ACH-000574,ACH-000608,ACH-000617,ACH-000646,ACH-000657,ACH-000663,ACH-000688,ACH-000696,ACH-000701,ACH-000704,ACH-000713,ACH-000719,ACH-000796,ACH-000811,ACH-000885,ACH-000906,ACH-000947,ACH-001042,ACH-001048,ACH-001063
EPB42_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,1,3,2,2,2,3,2,3,2,2,2,2
ANO5_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,2,2,2,1,1,2,3,2,1,3,3,3,2,3,2,2,3,2,4,2,2,2,3,1,2,2,2,2,3,2,2,2,3
DMTN_CopyNum,cat,Molecular,Copy Number,4,1,2,2,2,1,3,3,1,1,4,2,3,2,2,1,2,2,2,2,2,3,2,4,1,2,1,4,2,2,1,2,2,2,2,3,1,2
AK2_CopyNum,cat,Molecular,Copy Number,3,1,2,3,2,2,3,5,2,2,4,4,4,2,3,4,3,2,2,2,3,4,2,3,2,2,2,3,1,2,2,2,2,3,2,2,1,5
STOM_CopyNum,cat,Molecular,Copy Number,4,1,2,6,2,2,2,3,2,2,2,2,2,4,2,3,3,2,2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,3,2,2,2,4
RPSAP52_CopyNum,cat,Molecular,Copy Number,3,1,2,4,2,2,3,3,2,2,3,3,2,2,3,2,3,2,3,3,3,5,2,4,2,2,2,6,1,2,2,2,2,3,2,2,2,3
EPHA1_CopyNum,cat,Molecular,Copy Number,3,1,2,3,2,2,2,6,3,3,2,4,4,2,4,4,2,1,3,4,5,3,2,3,2,3,1,4,2,2,2,1,2,4,2,3,2,4
EPHA3_CopyNum,cat,Molecular,Copy Number,5,1,2,2,2,2,3,3,2,1,4,2,2,2,5,2,3,2,4,3,3,5,2,3,2,3,1,6,2,2,2,2,2,3,2,2,2,3
CERS3_CopyNum,cat,Molecular,Copy Number,2,1,2,1,2,2,3,3,2,2,3,2,2,2,2,2,2,2,3,3,2,3,2,4,2,2,3,3,2,2,2,2,2,3,2,2,2,5
EPHA4_CopyNum,cat,Molecular,Copy Number,3,1,2,2,2,2,3,5,2,2,2,2,3,3,3,3,3,2,2,3,2,4,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,3
